gene_id	transcript_id(s)	Control-1A	Control-2A	Control-3A	NB29-1A	NB29-2A	NB29-3A
HORVU.RGT_PLANET.PROJ.1HG00004220	transcript388	2.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004230	transcript389	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004260	transcript393	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004280	transcript394	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004290	transcript395	0.00	3.56	2.10	0.96	1.25	0.00
HORVU.RGT_PLANET.PROJ.1HG00004310	transcript396	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004360	transcript399	2.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004420	transcript402	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004450	transcript403	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004480	transcript406	3.00	1.00	0.00	0.00	1.00	1.00
HORVU.RGT_PLANET.PROJ.1HG00004490	transcript407	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004500	transcript408	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004510	transcript409	22.00	6.00	16.00	21.00	22.00	26.00
HORVU.RGT_PLANET.PROJ.1HG00004530	transcript411	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004540	transcript412	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004560	transcript416	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004580	transcript418	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004590	transcript419	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004610	transcript422	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004620	transcript423	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004660	transcript426	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004670	transcript428	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004690	transcript429	0.00	0.00	0.00	0.00	0.00	1.00
HORVU.RGT_PLANET.PROJ.1HG00004700	transcript430	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004720	transcript431	6.00	2.00	10.00	14.00	12.00	13.00
HORVU.RGT_PLANET.PROJ.1HG00004740	transcript434	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004750	transcript435	0.00	0.00	0.00	1.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004760	transcript436	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004770	transcript437	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004790	transcript438	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004800	transcript439	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004810	transcript440	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004830	transcript441	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004840	transcript443	0.00	1.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004870	transcript445	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004880	transcript446	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004890	transcript447	5.00	0.00	0.00	0.00	2.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004910	transcript448	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004920	transcript449	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004930	transcript450	162.00	84.00	177.00	104.00	82.00	82.00
HORVU.RGT_PLANET.PROJ.1HG00004940	transcript451	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004960	transcript454	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004970	transcript455	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004980	transcript456	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00004990	transcript457	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005070	transcript464	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005100	transcript467	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005110	transcript468	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005120	transcript470	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005130	transcript471	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005140	transcript472	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005150	transcript473	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005260	transcript482	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005270	transcript483	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005280	transcript484	2.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005300	transcript485	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005380	transcript491	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005400	transcript494	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005420	transcript497	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005440	transcript498	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005470	transcript501	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005490	transcript502	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005500	transcript503	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005510	transcript505	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005530	transcript506	0.00	0.00	0.00	0.00	0.00	0.00
HORVU.RGT_PLANET.PROJ.1HG00005540	transcript507	0.00	0.00	0.00	0.00	0.00	0.00
